Sample,Pquery,Weight,EDPL
epa_result,m54088_170216_085445_62849868_ccs_Otu00419_3_1588_bp,1,0
epa_result,m54088_170216_085445_70386622_ccs_Otu00427_3_1588_bp,1,0
epa_result,c-1736_conseq_Otu00126_14_1588_bp,1,0.000667794
epa_result,c-2395_conseq_Otu00010_402_1588_bp,1,0
epa_result,c-4180_conseq_Otu00042_53_1588_bp,1,0
epa_result,c-5298_conseq_Otu00145_12_1588_bp,1,0
epa_result,c-6233_conseq_Otu00072_27_1588_bp,1,0.000554719
epa_result,c-7670_conseq_Otu00012_375_1588_bp,1,2.27119e-05
epa_result,c-8421_conseq_Otu00094_21_1588_bp,1,0.0465478
epa_result,c-8839_conseq_Otu00090_22_1588_bp,1,0.00286627
epa_result,c-9835_conseq_Otu00170_10_1588_bp,1,0.0270198
epa_result,m54032_170210_154134_42729615_ccs_Otu00395_3_1588_bp,1,0.00173502
epa_result,m54032_170210_154134_55968023_ccs_Otu00573_2_1588_bp,1,0
epa_result,m54088_170214_101554_16843333_ccs_Otu00453_3_1588_bp,1,0.000487359
epa_result,m54088_170214_101554_62718575_ccs_Otu00171_10_1588_bp,1,0
epa_result,m54088_170216_085445_14615057_ccs_Otu00593_2_1588_bp,1,0.00874438
epa_result,m54088_170216_085445_17302405_ccs_Otu00065_31_1588_bp,1,0.00113534
epa_result,m54088_170216_085445_19726707_ccs_Otu00624_2_1588_bp,1,0
epa_result,m54088_170216_085445_23986877_ccs_Otu00616_2_1588_bp,1,0.0432237
epa_result,m54088_170216_085445_30343794_ccs_Otu00243_6_1588_bp,1,0
epa_result,m54088_170216_085445_37946095_ccs_Otu00606_2_1588_bp,1,0
epa_result,m54088_170216_085445_41222300_ccs_Otu00246_6_1588_bp,1,0
epa_result,m54088_170216_085445_50266620_ccs_Otu00167_11_1588_bp,1,0
epa_result,m54088_170216_085445_54853828_ccs_Otu00081_24_1588_bp,1,0
epa_result,m54088_170216_085445_58327852_ccs_Otu00187_9_1588_bp,1,0
epa_result,m54088_170216_085445_62390477_ccs_Otu00263_6_1588_bp,1,0
epa_result,m54088_170216_085445_66585512_ccs_Otu00289_5_1588_bp,1,0.000236192
epa_result,m54088_170216_085445_71959084_ccs_Otu00576_2_1588_bp,1,0.00166509
epa_result,m54088_170216_085445_8192769_ccs_Otu00166_11_1588_bp,1,0
epa_result,c-1708_conseq_Otu00028_101_1588_bp,1,0.00125091
epa_result,c-2109_conseq_Otu00045_50_1588_bp,1,0
epa_result,c-2629_conseq_Otu00229_7_1588_bp,1,0.000184834
epa_result,c-4331_conseq_Otu00056_35_1588_bp,1,0.000741677
epa_result,c-5233_conseq_Otu00219_8_1588_bp,1,0
epa_result,c-6309_conseq_Otu00036_69_1588_bp,1,0
epa_result,c-6926_conseq_Otu00100_20_1588_bp,1,0
epa_result,c-806_conseq_Otu00116_16_1588_bp,1,0
epa_result,c-8534_conseq_Otu00009_435_1588_bp,1,0.0387497
epa_result,c-9118_conseq_Otu00019_186_1588_bp,1,0
epa_result,m54032_170210_154134_29622949_ccs_Otu00299_5_1588_bp,1,0
epa_result,m54032_170210_154134_51184124_ccs_Otu00507_2_1588_bp,1,0.00173497
epa_result,m54032_170210_154134_6488584_ccs_Otu00418_3_1588_bp,1,0
epa_result,m54032_170210_154134_74187149_ccs_Otu00513_2_1588_bp,1,0
epa_result,m54088_170214_101554_24838546_ccs_Otu00508_2_1588_bp,1,0
epa_result,m54088_170214_101554_43778960_ccs_Otu00316_4_1588_bp,1,0.000910628
epa_result,m54088_170214_101554_5898454_ccs_Otu00136_13_1588_bp,1,0
epa_result,m54088_170214_101554_9961801_ccs_Otu00267_6_1588_bp,1,0
epa_result,m54088_170216_085445_14222207_ccs_Otu00479_2_1588_bp,1,0
epa_result,m54088_170216_085445_16515600_ccs_Otu00276_5_1588_bp,1,0.00146393
epa_result,m54088_170216_085445_26411408_ccs_Otu00498_2_1588_bp,1,0
epa_result,m54088_170216_085445_29688018_ccs_Otu00428_3_1588_bp,1,0
epa_result,m54088_170216_085445_31064386_ccs_Otu00432_3_1588_bp,1,0.0083068
epa_result,m54088_170216_085445_34931584_ccs_Otu00532_2_1588_bp,1,0
epa_result,m54088_170216_085445_38536093_ccs_Otu00174_10_1588_bp,1,0
epa_result,m54088_170216_085445_41484748_ccs_Otu00582_2_1588_bp,1,0
epa_result,m54088_170216_085445_45744837_ccs_Otu00491_2_1588_bp,1,0.00757905
epa_result,m54088_170216_085445_53936950_ccs_Otu00103_18_1588_bp,1,0.00303058
epa_result,m54088_170216_085445_57540917_ccs_Otu00518_2_1588_bp,1,0.00826417
epa_result,m54088_170216_085445_64946254_ccs_Otu00279_5_1588_bp,1,0
epa_result,m54088_170216_085445_69206793_ccs_Otu00245_6_1588_bp,1,0
epa_result,m54088_170216_085445_73663423_ccs_Otu00537_2_1588_bp,1,0
epa_result,c-2016_conseq_Otu00099_20_1588_bp,1,0
epa_result,c-366_conseq_Otu00300_5_1588_bp,1,0
epa_result,c-5829_conseq_Otu00224_7_1588_bp,1,0
epa_result,c-6131_conseq_Otu00018_189_1588_bp,1,0.0250806
epa_result,c-6456_conseq_Otu00059_33_1588_bp,1,0.00129816
